family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
glasala	glasala	glasovala		10.47	0.00	13.69	1.0000	0.4335	0.741		27	0	bs->alt	
glasnogovornica	glasnogovornica		portparolka	62.07	63.83	0.00	0.4930	1.0000		0.838	0	160		bs->alt
glasnogovornica	glasnogovornika		portparola	13.58	15.46	0.39	0.4676	0.9720		0.600	0	35		bs->alt
grijanja	grijanja		grejanja	11.64	11.89	0.00	0.4946	1.0000		0.733	0	30		bs->alt
grijanja	grijanje		grejanje	8.15	9.91	0.00	0.4512	1.0000		0.810	0	21		bs->alt
grupama	grupama	skupinama		38.41	0.40	36.76	0.9898	0.5110	0.592		98	0	bs->alt	
grupe	grupe	skupine		325.48	8.33	351.53	0.9751	0.4808	0.724		826	0	bs->alt	
grupu	grupu	skupinu		63.23	0.79	71.17	0.9876	0.4705	0.636		162	0	bs->alt	
guardian	guardian		gardijan	43.06	44.00	0.39	0.4946	0.9910		1.000	0	110		bs->alt
hag	hag	haag		20.56	0.00	22.68	1.0000	0.4755	0.849		53	0	bs->alt	
hagu	hagu	haagu		74.87	1.59	74.29	0.9793	0.5019	0.826		190	0	bs->alt	
haos	haos	kaos		15.13	0.00	17.99	1.0000	0.4569	0.718		39	0	bs->alt	
hapšenja	hapšenja	uhićenja		101.25	0.00	108.31	1.0000	0.4832	0.805		261	0	bs->alt	
hapšenja	hapšenje	uhićenje		79.53	0.00	101.28	1.0000	0.4399	0.853		204	0	bs->alt	
hapšenja	hapšenjem	uhićenjem		18.23	0.00	13.69	1.0000	0.5712	0.638		47	0	bs->alt	
hapšenja	hapšenju	uhićenju		17.85	0.00	16.81	1.0000	0.5149	0.717		46	0	bs->alt	
hashim	hashim		hašim	79.14	79.29	0.00	0.4995	1.0000		0.990	0	204		bs->alt
haxhinasto	haxhinasto		hadžinasto	9.31	9.12	0.00	0.5052	1.0000		1.000	0	24		bs->alt
hidžaba	hidžaba	marama	marama	12.41	0.00	0.00	1.0000	1.0000	0.969	0.875	32	32	bs->alt	bs->alt
hiljada	hiljada	tisuća		78.75	0.00	136.86	1.0000	0.3653	0.788		203	0	bs->alt	
hiljada	hiljadama	tisućama		8.53	0.00	10.95	1.0000	0.4380	0.727		22	0	bs->alt	
hiljada	hiljade	tisuće		83.41	0.00	96.19	1.0000	0.4644	0.763		215	0	bs->alt	
hillary	hillary		hilari	25.60	27.75	0.00	0.4799	1.0000		0.985	0	66		bs->alt
historija	historija	povijest	istorija	22.89	0.00	0.00	1.0000	1.0000	0.898	0.746	59	59	bs->alt	bs->alt
historija	historije	povijesti	istorije	43.06	0.00	0.00	1.0000	1.0000	0.793	0.757	111	111	bs->alt	bs->alt
historija	historiji	povijesti	istoriji	73.71	0.00	0.00	1.0000	1.0000	0.926	0.916	190	190	bs->alt	bs->alt
historija	historijska	povijesna	istorijska	11.64	0.00	0.00	1.0000	1.0000	0.567	0.667	30	30	bs->alt	bs->alt
historija	historijske	povijesne	istorijske	30.26	0.00	0.00	1.0000	1.0000	0.538	0.692	78	78	bs->alt	bs->alt
historija	historijski	povijesni	istorijski	45.39	0.00	0.00	1.0000	1.0000	0.641	0.803	117	117	bs->alt	bs->alt
historija	historijskih	povijesnih	istorijskih	17.07	0.00	0.00	1.0000	1.0000	0.750	0.636	44	44	bs->alt	bs->alt
historija	historijskim	povijesnim	istorijskim	16.68	0.00	0.00	1.0000	1.0000	0.767	0.744	43	43	bs->alt	bs->alt
historija	historijsko	povijesno		9.31	0.00	0.00	1.0000	1.0000	0.500		24	0	bs->alt	
historija	historijskog	povijesnog	istorijskog	15.13	0.00	0.00	1.0000	1.0000	0.769	0.846	39	39	bs->alt	bs->alt
historija	historijskom	povijesnom	istorijskom	12.03	0.00	0.00	1.0000	1.0000	0.839	0.806	31	31	bs->alt	bs->alt
historija	historiju	povijest	istoriju	38.41	0.00	0.00	1.0000	1.0000	0.707	0.737	99	99	bs->alt	bs->alt
historija	historičar		istoričar	8.92	0.00	0.00	1.0000	1.0000		1.000	0	23		bs->alt
historija	historičari	povjesničari	istoričari	8.92	0.00	0.00	1.0000	1.0000	0.913	1.000	23	23	bs->alt	bs->alt
holandija	holandija	nizozemska		40.73	0.00	41.06	1.0000	0.4980	0.886		105	0	bs->alt	
holandija	holandije	nizozemske		25.60	0.00	23.46	1.0000	0.5218	0.773		66	0	bs->alt	
holandija	holandska	nizozemska		8.53	0.00	8.21	1.0000	0.5096	0.818		22	0	bs->alt	
holandija	holandske	nizozemske		9.31	0.00	9.78	1.0000	0.4878	0.750		24	0	bs->alt	
holandija	holandski	nizozemski		18.62	0.00	21.51	1.0000	0.4640	0.958		48	0	bs->alt	
holbrooke	holbrooke		holbruk	11.64	11.50	0.00	0.5031	1.0000		1.000	0	30		bs->alt
hoxhaj	hoxhaj		hodžaj	13.19	13.88	0.00	0.4873	1.0000		1.000	0	34		bs->alt
hrvanju	hrvanju		rvanju	12.03	13.88	0.00	0.4643	1.0000		0.839	0	31		bs->alt
htio	htio		želeo	27.93	9.51	0.00	0.7459	1.0000		0.417	0	72		bs->alt
htjela	htjela		želela	19.01	6.34	0.00	0.7498	1.0000		0.449	0	49		bs->alt
htjela	htjeli		želeli	34.14	17.05	0.00	0.6670	1.0000		0.523	0	88		bs->alt
hyseni	hyseni		hiseni	23.28	23.79	0.00	0.4946	1.0000		1.000	0	60		bs->alt
icg	icg		mkg	18.23	9.51	0.00	0.6571	1.0000		0.979	0	47		bs->alt
icty	icty		mksj	130.35	85.23	0.78	0.6046	0.9940		0.862	0	334		bs->alt
